Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,56.220001,56.259998,54.700001,54.970001,54.116238,265600
2018-10-03,55.060001,56.270000,54.799999,55.290001,54.431263,238900
2018-10-04,54.790001,55.470001,54.529999,54.889999,54.037476,549500
2018-10-05,55.130001,55.150002,53.090000,53.119999,52.294968,237400
2018-10-08,53.049999,53.410000,52.180000,52.869999,52.048847,155900
2018-10-09,52.860001,53.259998,52.299999,52.680000,51.861801,267100
2018-10-10,52.590000,52.790001,50.830002,50.860001,50.070065,385000
2018-10-11,50.900002,52.009998,50.040001,50.150002,49.371094,304500
2018-10-12,51.480000,51.590000,49.799999,50.480000,49.695969,213600
2018-10-15,50.389999,51.139999,50.250000,50.639999,49.853481,160600
2018-10-16,51.049999,52.110001,50.340000,51.980000,51.172668,234500
2018-10-17,52.349998,52.910000,51.389999,52.580002,51.763355,294000
2018-10-18,52.389999,53.080002,50.279999,50.340000,49.558144,171800
2018-10-19,50.340000,51.009998,49.860001,50.980000,50.188202,217000
2018-10-22,51.119999,51.830002,50.520000,51.040001,50.247269,173600
2018-10-23,50.279999,50.520000,49.119999,50.439999,49.656586,305700
2018-10-24,50.369999,50.770000,46.990002,47.060001,46.329086,415200
2018-10-25,47.160000,49.480000,47.160000,49.180000,48.416157,260200
2018-10-26,48.400002,50.060001,47.240002,50.000000,49.223423,438100
2018-10-29,51.599998,52.279999,50.000000,50.660000,49.873177,443700
2018-10-30,50.509998,51.650002,50.080002,51.259998,50.463852,220100
2018-10-31,57.740002,61.740002,55.000000,57.290001,56.400204,1143900
2018-11-01,57.680000,57.740002,54.130001,56.369999,55.494488,427700
2018-11-02,56.470001,58.250000,55.680000,55.860001,54.992409,324800
2018-11-05,56.160000,56.770000,55.820000,56.230000,55.356659,349100
2018-11-06,56.000000,58.080002,56.000000,57.930000,57.030258,359100
2018-11-07,58.000000,58.799999,57.610001,57.720001,56.823524,417000
2018-11-08,57.570000,58.270000,57.570000,57.970001,57.069637,343400
2018-11-09,57.759998,58.139999,56.029999,56.599998,55.720917,182600
2018-11-12,56.480000,56.520000,54.840000,54.950001,54.096542,160500
2018-11-13,55.180000,56.380001,54.880001,54.919998,54.067005,157500
